,RMSE,Error > 1m,Error > 1m 24,Error > 1m 6
"(170, 225)",0.011270348,FALSE,FALSE,FALSE
"(170, 230)",0.88428413,FALSE,FALSE,TRUE
"(170, 235)",0.25657941,FALSE,FALSE,FALSE
"(170, 240)",0.591717493,FALSE,FALSE,FALSE
"(170, 245)",0.570472038,FALSE,FALSE,FALSE
"(170, 250)",0.233843396,FALSE,FALSE,FALSE
"(175, 210)",0.502088276,FALSE,FALSE,FALSE
"(175, 215)",0.556026564,FALSE,FALSE,TRUE
"(175, 220)",0.374699152,FALSE,FALSE,FALSE
"(175, 225)",0.727129511,FALSE,FALSE,FALSE
"(175, 230)",0.167297596,FALSE,FALSE,FALSE
"(175, 235)",0.955031818,FALSE,FALSE,FALSE
"(175, 240)",0.085687097,FALSE,FALSE,FALSE
"(175, 245)",0.756899725,FALSE,FALSE,FALSE
"(175, 250)",0.394805579,FALSE,FALSE,FALSE
"(175, 255)",0.432274619,FALSE,FALSE,FALSE
"(180, 205)",0.198786552,FALSE,FALSE,FALSE
"(180, 210)",0.8676452,FALSE,FALSE,FALSE
"(180, 220)",0.433177324,FALSE,FALSE,TRUE
"(180, 225)",0.485869704,FALSE,FALSE,TRUE
"(180, 230)",0.603086006,FALSE,FALSE,FALSE
"(180, 235)",0.290549678,FALSE,FALSE,FALSE
"(180, 240)",0.818708419,FALSE,FALSE,FALSE
"(180, 245)",0.055508942,FALSE,FALSE,FALSE
"(180, 250)",0.9051426,FALSE,FALSE,FALSE
"(180, 255)",0.232379087,FALSE,FALSE,FALSE
"(180, 260)",0.570653662,FALSE,FALSE,FALSE
"(180, 265)",0.615684006,FALSE,FALSE,FALSE
"(185, 225)",0.358158295,FALSE,FALSE,FALSE
"(185, 230)",0.565965004,FALSE,FALSE,TRUE
"(185, 235)",0.51666552,FALSE,FALSE,FALSE
"(185, 240)",0.394778662,FALSE,FALSE,FALSE
"(185, 245)",0.698807315,FALSE,FALSE,FALSE
"(185, 250)",0.175623846,FALSE,FALSE,FALSE
"(185, 255)",0.949202849,FALSE,FALSE,FALSE
"(185, 260)",0.122998696,FALSE,FALSE,FALSE
"(185, 265)",0.677641051,FALSE,FALSE,FALSE
"(185, 270)",0.501982221,FALSE,FALSE,FALSE
"(185, 275)",0.281594781,FALSE,FALSE,FALSE
"(190, 245)",0.473438831,FALSE,FALSE,FALSE
"(190, 250)",0.619195126,FALSE,FALSE,FALSE
"(190, 255)",0.250005653,FALSE,FALSE,FALSE
"(190, 260)",0.871196116,FALSE,FALSE,FALSE
"(190, 265)",0.048404804,FALSE,FALSE,FALSE
"(190, 270)",0.771471879,FALSE,FALSE,FALSE
"(190, 275)",0.393631273,FALSE,FALSE,FALSE
"(190, 280)",0.364676347,FALSE,FALSE,FALSE
"(195, 225)",0.891953507,FALSE,FALSE,FALSE
"(195, 250)",0.507769053,FALSE,FALSE,FALSE
